Unnamed: 0,id,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,area,reserved_days,occupancy_rate,night_category,distance_to_attraction
6196,29791304,40828516,Kittikorn,Bang Sue,13.80637,100.52854,Entire home/apt,1444,5,19,0.4,1,249,Inner,116,31.78,5,8.395135047679922
6223,30296684,190519081,Nissorn,Samphanthawong,13.73236,100.51301,Shared room,350,1,0,0.0,5,365,Inner,0,0.0,1,5.108148189417326
6262,29869855,41209324,Sasithorn,Bang Sue,13.84667,100.5413,Private room,9000,5,0,0.0,1,365,Inner,0,0.0,5,12.300935329332923
6268,29890316,16597150,Yuhttana,Bang Sue,13.82777,100.52704,Entire home/apt,4000,2,34,0.72,2,310,Inner,55,15.07,2,10.65625621796208
6294,30551937,101901585,Thanik,Bang Sue,13.823065,100.51062,Entire home/apt,1500,7,58,1.18,4,313,Inner,52,14.25,7,10.917025092599882
6308,30168700,226646586,Pin,Bang Phlat,13.79348,100.507,Private room,379,1,1,0.45,2,261,Inner,104,28.49,1,8.47928014917238
6325,30194812,226809502,Anan,Bang Sue,13.81975,100.53081,Entire home/apt,1200,1,1,0.02,1,0,Inner,365,100.0,1,9.684105421543107
6338,30216638,226941867,Nakun,Samphanthawong,13.74188,100.50202,Shared room,4800,1,0,0.0,8,0,Inner,365,100.0,1,6.294003617545916
6342,30217271,226941867,Nakun,Samphanthawong,13.74396,100.50332,Private room,3240,1,0,0.0,8,0,Inner,365,100.0,1,6.178349817523043
6343,30218710,226941867,Nakun,Samphanthawong,13.74194,100.5027,Private room,4000,1,0,0.0,8,0,Inner,365,100.0,1,6.221311648035088
6347,30238385,24021177,Chantana,Bang Phlat,13.78612,100.49136,Shared room,400,1,0,0.0,1,90,Inner,275,75.34,1,9.199738765168709
6368,30385833,21970931,Nui,Bang Sue,13.81975,100.5297,Entire home/apt,741,1,79,1.6,22,120,Inner,245,67.12,1,9.72389162817465
6370,30386550,226941867,Nakun,Samphanthawong,13.74403,100.50302,Private room,2914,1,0,0.0,8,0,Inner,365,100.0,1,6.2115084631734305
6371,30386821,226941867,Nakun,Samphanthawong,13.74217,100.50321,Private room,1857,1,0,0.0,8,0,Inner,365,100.0,1,6.168672476932645
6373,30387182,226941867,Nakun,Samphanthawong,13.74182,100.50257,Private room,2229,1,1,0.03,8,0,Inner,365,100.0,1,6.2341693844749555
6376,30777599,21970931,Nui,Bang Sue,13.81849,100.53313,Entire home/apt,751,5,31,0.64,22,134,Inner,231,63.29,5,9.47248542759471
6385,30414864,33648272,Jeenie,Bang Sue,13.80612,100.53185,Entire home/apt,550,1,47,0.96,22,303,Inner,62,16.99,1,8.230864247291919
6472,30792632,117057915,Jeab,Bang Phlat,13.79275,100.48872,Private room,614,1,5,0.1,5,364,Inner,1,0.27,1,9.872403434775192
6546,30886584,230833961,Beachy,Bang Phlat,13.78035,100.47695,Entire home/apt,3000,2,0,0.0,1,88,Inner,277,75.89,2,10.181856932814178
6557,30898131,230905156,Chinbunchorn,Bang Sue,13.81884,100.5285,Entire home/apt,12000,1,0,0.0,1,270,Inner,95,26.03,1,9.674086017090396
6559,30899392,230916473,Chinbunchorn,Bang Sue,13.82039,100.5294,Entire home/apt,1500,2,0,0.0,1,270,Inner,95,26.03,2,9.8014908672199
6627,31418117,36510284,Larissa,Thon buri,13.70854,100.47737,Private room,5368,1,0,0.0,1,365,Inner,0,0.0,1,9.475885052583772
6642,31127427,228762553,Kanchana,Bang Phlat,13.77322,100.48406,Entire home/apt,990,1,3,0.09,1,149,Inner,216,59.18,1,9.138212539461252
6674,31608237,196132720,The Orientale,Samphanthawong,13.73788,100.51405,Hotel room,2579,1,56,1.19,4,338,Inner,27,7.4,1,4.970699698239195
6686,31458570,121050743,Orathai,Thon buri,13.72699,100.48786,Entire home/apt,1200,1,0,0.0,1,180,Inner,185,50.68,1,7.880723779110233
6739,31499527,179530352,Laurence,Thon buri,13.713,100.47818,Private room,5991,1,0,0.0,1,365,Inner,0,0.0,1,9.239514227392394
6757,31684795,237591353,珍,Bang Phlat,13.80122,100.51107,Entire home/apt,15000,1,6,0.13,2,90,Inner,275,75.34,1,8.858950557887013
6759,31685811,237591353,珍,Bang Phlat,13.80111,100.50992,Entire home/apt,15000,1,4,0.12,2,90,Inner,275,75.34,1,8.924112074604844
6780,31720498,204109833,Antz,Thon buri,13.72068,100.49159,Private room,22000,1,0,0.0,1,365,Inner,0,0.0,1,7.616308885103272
6884,32115049,43389865,Annie,Bang Sue,13.80332,100.53405,Private room,1039,28,0,0.0,3,90,Inner,275,75.34,28+ days,7.85578355772054
6900,31599336,64263046,Vasudev,Thon buri,13.71043,100.48091,Entire home/apt,350,14,6,0.13,1,132,Inner,233,63.84,14,9.04550344893278
6903,31877351,238920108,Va,Bang Sue,13.82576,100.53105,Entire home/apt,3500,1,1,0.02,1,88,Inner,277,75.89,1,10.307077300708459
6919,31909637,76077432,Amy,Bang Phlat,13.79905,100.5068,Entire home/apt,420,31,5,0.11,11,0,Inner,365,100.0,28+ days,8.956964281391915
6930,31909757,76077432,Amy,Bang Phlat,13.7994,100.50693,Entire home/apt,420,31,9,0.19,11,0,Inner,365,100.0,28+ days,8.977681724577351
7065,32358416,107574708,Belle,Thon buri,13.70707,100.49601,Entire home/apt,1750,3,3,0.07,1,353,Inner,12,3.29,3,7.6726667451447135
7066,32365161,176155327,苦行僧/Kuxingseng,Bang Phlat,13.80068,100.50856,Entire home/apt,537,60,10,0.21,1,264,Inner,101,27.67,28+ days,8.976738711273736
7091,32629925,245317645,พชร,Bang Phlat,13.7711,100.4921,Private room,900,1,1,0.03,1,365,Inner,0,0.0,1,8.255704225382201
7112,32853421,60194145,Ake,Bang Sue,13.82042,100.53079,Entire home/apt,900,1,64,1.38,3,186,Inner,179,49.04,1,9.754912959563036
7138,32702968,245909504,Ratchaneekorn,Bang Sue,13.8298,100.52876,Entire home/apt,1000,7,1,0.02,1,345,Inner,20,5.48,7,10.808604981854273
7147,32704815,16232330,Natthaphon,Bang Phlat,13.77814,100.48084,Hotel room,2100,1,0,0.0,2,341,Inner,24,6.58,1,9.695641864418759
7162,32705109,16232330,Natthaphon,Bang Phlat,13.77813,100.48078,Hotel room,1464,1,0,0.0,2,361,Inner,4,1.1,1,9.700852800845809
7164,32458730,175762402,Supaporn,Bang Phlat,13.7773,100.48457,Entire home/apt,650,30,0,0.0,1,83,Inner,282,77.26,28+ days,9.296472435401805
7203,32736541,181615772,Live In Thai,Bang Phlat,13.79925,100.50795,Entire home/apt,522,31,1,0.14,2,169,Inner,196,53.7,28+ days,8.894717617870398
7204,32925096,26469926,Nursery,Bang Sue,13.80246,100.52546,Entire home/apt,5452,3,29,0.63,1,67,Inner,298,81.64,3,8.148781830853915
7215,32752548,185136138,Intukarn,Samphanthawong,13.73976,100.50546,Entire home/apt,8771,2,61,1.36,1,316,Inner,49,13.42,2,5.906676846443153
7233,32769557,181615772,Live In Thai,Bang Phlat,13.80065,100.50835,Entire home/apt,473,31,2,0.04,2,73,Inner,292,80.0,28+ days,8.988228797458829
7256,33086829,176026772,Aaron,Thon buri,13.71226,100.47143,Entire home/apt,999,31,1,0.02,1,365,Inner,0,0.0,28+ days,9.963213474028839
7263,32772080,237122647,Ruechuphon,Bang Phlat,13.80025,100.51214,Private room,690,1,0,0.0,1,90,Inner,275,75.34,1,8.703819359375569
7285,33002290,76077432,Amy,Bang Phlat,13.80069,100.50848,Entire home/apt,424,30,3,0.09,11,0,Inner,365,100.0,28+ days,8.982970148212777
7287,33003467,191361327,Panicha,Thon buri,13.71269,100.47791,Private room,600,7,0,0.0,1,0,Inner,365,100.0,7,9.277380138615085
7288,33003617,52223363,Panate,Thon buri,13.71746,100.48144,Private room,626,2,14,0.31,1,271,Inner,94,25.75,2,8.767763965090806
7294,33119182,217897311,Supamas,Thon buri,13.72038,100.48706,Private room,2300,2,1,0.03,1,166,Inner,199,54.52,2,8.10061181376967
7296,33301448,250806323,Worrasit,Bang Sue,13.82003,100.53581,Private room,2400,1,0,0.0,1,365,Inner,0,0.0,1,9.551391161327338
7322,33328110,96178107,Supergai,Bang Phlat,13.77195,100.49284,Shared room,399,5,13,0.29,1,169,Inner,196,53.7,5,8.228362263341118
7371,33242203,249436097,Poonwiwat,Thon buri,13.71564,100.48142,Entire home/apt,2600,1,0,0.0,1,365,Inner,0,0.0,1,8.82168727168629
7394,33266690,57843393,Pakorn,Bang Sue,13.81768,100.53201,Entire home/apt,3000,1,45,1.12,1,146,Inner,219,60.0,1,9.425423133380757
7401,33406518,213237788,Wikky,Bang Sue,13.83094,100.52761,Entire home/apt,799,1,0,0.0,1,181,Inner,184,50.41,1,10.967559078294105
7414,33627931,252303979,Anirut,Thon buri,13.71718,100.48145,Private room,2600,1,0,0.0,1,179,Inner,186,50.96,1,8.774411143480702
7511,33704036,175084619,Pam,Bang Phlat,13.79896,100.51065,Private room,750,1,2,0.04,7,255,Inner,110,30.14,1,8.687541632610174
7560,33789637,213294586,Sun,Bang Phlat,13.79944,100.50789,Entire home/apt,1637,100,8,0.18,11,180,Inner,185,50.68,28+ days,8.915102689775894
7566,33915566,97747670,Pornthip,Bang Sue,13.81601,100.53369,Entire home/apt,32000,12,0,0.0,1,365,Inner,0,0.0,12,9.192798999700024
